site,sample,samplecat,urban,city,daterun,alaphe,gluphe,ala,val,leu,gly,nle,pro,asp,glu,phe
M37,6,c,2,manchester,18/04/2024,2.863098592,2.22260274,11.6595,-13.016,8.2735,5.1235,18.1095,12.346,12.1915,8.3565,5.7315
M38,2,b,8,manchester,30/01/2024,2.675140845,2.154726027,9.89,-2.548,3.9995,6.0485,21.0085,8.6545,11.289,7.426,5.2965
M38,3,b,8,manchester,30/01/2024,3.120492958,2.352945205,10.9815,-7.571,4.546,6.533,19.0365,8.432,11.9165,6.8025,3.226
M38,1,b,8,manchester,18/04/2024,3.149577465,2.337054795,12.6715,-12.378,8.512,6.3035,17.9185,11.148,12.988,8.17,4.7095
M39,1,a,10,manchester,24/04/2024,3.06084507,2.301232877,13.584,-5.8355,9.773,6.208,17.2925,13.4735,13.9295,9.451,6.252
M39,2,a,10,manchester,24/04/2024,2.635492958,2.024931507,10.207,-9.6335,6.5275,4.73,16.01,10.155,11.534,7.077,5.895
M4,1,c,89,manchester,02/11/2023,2.511408451,1.942260274,9.222,0.6205,3.7905,2.918,18.1445,6.6045,9.9835,6.3695,5.791
M4,2,c,89,manchester,02/11/2023,2.741478873,2.066712329,8.431,-1.0835,3.8605,1.8315,18.931,6.2105,9.039,4.8535,3.3665
M4,3,c,89,manchester,02/11/2023,3.022676056,1.990547945,9.4555,0.4765,4.534,3.117,17.762,6.9625,8.764,3.3255,2.3945
M4,4,c,89,manchester,06/11/2023,3.118521127,2.493630137,10.4635,2.0135,4.4235,4.2015,16.926,6.8525,8.6865,7.3255,2.722
M4,5,c,89,manchester,06/11/2023,2.881126761,2.073561644,9.931,-1.054,4.0995,3.315,17.244,6.3505,8.6215,5.412,3.875
M40,1,c,1,manchester,30/01/2024,2.886549296,2.094178082,11.0475,-7.885,4.241,6.1265,19.527,7.634,11.7935,6.6405,4.953
M40,2,c,1,manchester,30/01/2024,2.688802817,2.100342466,8.8025,-9.388,2.3335,3.8675,17.946,6.8565,9.7825,5.8445,4.112
M40,3,c,1,manchester,30/01/2024,2.919295775,2.043013699,11.484,-7.124,3.244,4.5965,16.5665,7.582,11.1765,6.471,5.157
M40,4,c,1,manchester,22/04/2024,2.708309859,2.359863014,7.632,-6.6135,8.363,3.6975,12.5735,11.578,9.413,6.43,2.803
M40,5,c,1,manchester,22/04/2024,2.655070423,2.18130137,10.7175,-7.254,7.4665,4.8525,15.8145,14.0415,10.9975,8.59,6.2665
M40,6,c,1,manchester,22/04/2024,2.613098592,2.047328767,10.616,-7.941,9.6315,5.0535,15.086,13.029,11.1575,7.8085,6.463
M5,2,c,90,manchester,23/11/2023,2.950774648,2.241712329,9.8385,9.652,0.5775,4.5435,9.176,13.0475,7.7995,6.0525,3.288
M5,3,c,90,manchester,23/11/2023,2.817183099,1.917945205,10.3825,-9.544,2.3785,4.699,17.415,8.1945,9.5605,5.1815,4.7805
M5,9,c,90,manchester,11/12/2023,2.772957746,1.491849315,9.5225,9.289,3.794,2.8545,22.3535,5.1635,11.195,1.525,4.2345
M5,10,c,90,manchester,11/12/2023,2.676478873,1.455410959,10.8375,8.154,1.68,1.09,17.868,3.0035,12.05,3.259,6.2345
M5,1,c,90,manchester,13/03/2024,2.159014085,1.936712329,6.016,11.427,3.4355,3.184,15.193,10.5445,9.329,5.625,5.087
M5,4,c,90,manchester,13/03/2024,2.148521127,1.945,6.752,9.32,3.9785,1.899,16.905,10.4085,10.6655,6.496,5.8975
M5,5,c,90,manchester,13/03/2024,2.530422535,1.931780822,8.4845,0.6945,4.1625,1.4155,15.8375,10.212,7.7305,5.4205,4.9185
M5,8,c,90,manchester,14/03/2024,2.36971831,2.15130137,5.881,7.8435,6.1285,5.238,16.474,10.917,11.6875,5.5605,3.456
M7,1,b,76,manchester,26/03/2024,2.475422535,2.255,6.438,1.828,6.2475,3.884,16.318,9.8865,10.1515,6.124,3.2625
M7,2,b,76,manchester,26/03/2024,2.761338028,2.292945205,9.3175,3.993,8.975,6.049,16.1145,12.1185,11.1435,7.2505,4.112
M7,3,b,76,manchester,26/03/2024,2.090704225,2.035410959,6.239,0.461,5.3295,3.1525,16.3685,10.7495,9.804,7.0535,5.795
M7,4,b,76,manchester,26/03/2024,2.455211268,2.255616438,8.153,8.0045,5.7065,4.1685,17.5235,12.888,10.2955,7.987,5.121
M8,6,b,82,manchester,26/09/2023,2.626901408,2.372328767,9.3085,5.8885,7.154,5.8205,18.9725,10.885,14.8835,8.7755,5.0575
M8,2,b,82,manchester,27/03/2024,2.418098592,2.185958904,7.711,3.486,7.695,5.71,13.6,11.728,11.0665,7.3,4.9425
M8,3,b,82,manchester,27/03/2024,2.970070423,2.32,11.7565,0.8085,8.662,6.9065,14.957,12.562,12.0325,8.405,5.069
M8,4,b,82,manchester,27/03/2024,2.586056338,2.173082192,9.4825,-0.042,5.3355,5.3835,15.154,13.3185,10.2495,7.785,5.5215
